date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:46	208/208	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202019%2008:35:46%20GMT	http://chicago-ctos.com/robots.txt		(from )
10:35:46	16114/16114	---M--	200	added ('OK')	text/html	etag:%228004a-3ef2-4fae0912b6080%22	http://chicago-ctos.com/	C:/My%20Web%20Sites/test/chicago-ctos.com/index.html	(from )
10:35:46	1150/1150	---M--	200	added ('OK')	text/plain	etag:%221400b2-47e-4f4e3a670b380%22	http://chicago-ctos.com/favicon.ico	C:/My%20Web%20Sites/test/chicago-ctos.com/favicon.ico	(from http://chicago-ctos.com/)
10:35:47	208/208	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202019%2008:35:47%20GMT	http://chicago-ctos.com/images/share.jpg	C:/My%20Web%20Sites/test/chicago-ctos.com/images/share.1.delayed	(from http://chicago-ctos.com/)
10:35:47	6577/6577	---M--	200	added ('OK')	application/x-javascript	etag:%221400f8-19b1-4f4e3a764d780%22	http://chicago-ctos.com/js/libs/modernizr.js	C:/My%20Web%20Sites/test/chicago-ctos.com/js/libs/modernizr.js	(from http://chicago-ctos.com/)
10:35:49	100518/100518	---M--	200	added ('OK')	text/css	etag:%221810db-188a6-4f5254c16cb80%22	http://chicago-ctos.com/css/styles.min.css	C:/My%20Web%20Sites/test/chicago-ctos.com/css/styles.min.css	(from http://chicago-ctos.com/)
10:35:49	208/208	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202019%2008:36:28%20GMT	http://chicago-ctos.com/believe	C:/My%20Web%20Sites/test/chicago-ctos.com/believe.4.delayed	(from http://chicago-ctos.com/)
10:35:49	0/-1	---M--	302	error ('')			http://chicago-ctos.com/believe	C:/My%20Web%20Sites/test/chicago-ctos.com/believe.5.delayed	(from http://chicago-ctos.com/)
10:35:50	208/208	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202019%2008:35:50%20GMT	http://chicago-ctos.com/discover	C:/My%20Web%20Sites/test/chicago-ctos.com/discover.6.delayed	(from http://chicago-ctos.com/)
10:35:51	208/208	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202019%2008:36:31%20GMT	http://chicago-ctos.com/imagine	C:/My%20Web%20Sites/test/chicago-ctos.com/imagine.7.delayed	(from http://chicago-ctos.com/)
10:35:51	208/208	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202019%2008:35:51%20GMT	http://chicago-ctos.com/connect	C:/My%20Web%20Sites/test/chicago-ctos.com/connect.8.delayed	(from http://chicago-ctos.com/)
10:35:52	29142/29142	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%221400f5-71d6-4f4e3a7559540%22	http://chicago-ctos.com/js/libs/flashmediaelement.swf	C:/My%20Web%20Sites/test/chicago-ctos.com/js/libs/flashmediaelement.swf	(from http://chicago-ctos.com/)
10:35:54	93106/93106	---M--	200	added ('OK')	application/x-javascript	etag:%2240108-16bb2-4f4e3a764d780%22	http://chicago-ctos.com/js/libs/jquery-1.10.2.min.js	C:/My%20Web%20Sites/test/chicago-ctos.com/js/libs/jquery-1.10.2.min.js	(from http://chicago-ctos.com/)
10:35:54	35104/35104	---M--	200	added ('OK')	application/x-javascript	etag:%224010b-8920-4f4e3a764d780%22	http://chicago-ctos.com/js/libs/soundmanager2-nodebug-jsmin.js	C:/My%20Web%20Sites/test/chicago-ctos.com/js/libs/soundmanager2-nodebug-jsmin.js	(from http://chicago-ctos.com/)
10:35:57	71025/71025	---M--	200	added ('OK')	application/x-javascript	etag:%221400f7-11571-4f4e3a764d780%22	http://chicago-ctos.com/js/libs/mediaelement-and-player.min.js	C:/My%20Web%20Sites/test/chicago-ctos.com/js/libs/mediaelement-and-player.min.js	(from http://chicago-ctos.com/)
10:35:58	97276/97276	---M--	200	added ('OK')	application/x-javascript	etag:%2280063-17bfc-4f4e3a77419c0%22	http://chicago-ctos.com/js/libs/vo-data.js	C:/My%20Web%20Sites/test/chicago-ctos.com/js/libs/vo-data.js	(from http://chicago-ctos.com/)
10:36:04	368628/368628	---M--	200	added ('OK')	application/x-javascript	etag:%2240060-59ff4-4f4e3a69e7a40%22	http://chicago-ctos.com/js/scripts.min.js	C:/My%20Web%20Sites/test/chicago-ctos.com/js/scripts.min.js	(from http://chicago-ctos.com/)
10:36:06	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/test/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from http://chicago-ctos.com/)
10:36:06	208/208	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202019%2008:36:47%20GMT	http://chicago-ctos.com/mediaelement.min.js	C:/My%20Web%20Sites/test/chicago-ctos.com/mediaelement.min.10.delayed	(from http://chicago-ctos.com/js/libs/mediaelement-and-player.min.js)
10:36:06	208/208	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202019%2008:36:06%20GMT	http://chicago-ctos.com/mediaelement-and-player.js	C:/My%20Web%20Sites/test/chicago-ctos.com/mediaelement-and-player.11.delayed	(from http://chicago-ctos.com/js/libs/mediaelement-and-player.min.js)
10:36:07	0/-1	---M--	302	error ('')			http://chicago-ctos.com/mediaelement.min.js	C:/My%20Web%20Sites/test/chicago-ctos.com/mediaelement.min.12.delayed	(from http://chicago-ctos.com/js/scripts.min.js)
10:36:07	0/-1	---M--	302	error ('')			http://chicago-ctos.com/mediaelement-and-player.js	C:/My%20Web%20Sites/test/chicago-ctos.com/mediaelement-and-player.13.delayed	(from http://chicago-ctos.com/js/scripts.min.js)
10:36:07	208/208	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202019%2008:36:07%20GMT	http://chicago-ctos.com/swf/	C:/My%20Web%20Sites/test/chicago-ctos.com/swf/index.html	(from http://chicago-ctos.com/js/scripts.min.js)
